0,1,2,3
2,4,0.46,30
2,28,0.67,32
2,38,0.78,34
3,4,0.18,14
3,23,0.66,48
3,26,0.99,48
3,29,0.47,38
3,32,0.97,29
3,46,0.63,15
3,48,0.13,33
0,34,0.3,39
4,3,0.44,7
4,7,0.74,29
4,29,0.91,14
4,29,0.13,39
4,40,0.88,22
4,42,0.31,42
5,8,0.85,16
5,11,0.47,41
5,30,0.3,48
5,40,0.43,6
5,47,0.43,34
6,12,0.39,38
6,17,0.99,24
6,40,0.72,28
6,45,0.44,36
7,40,0.27,7
8,11,0.34,21
8,15,0.59,16
8,23,0.78,28
8,30,0.33,29
8,47,0.73,44
11,3,0.47,24
11,0,0.27,39
11,4,0.96,21
11,17,0.68,25
11,23,0.78,27
11,29,0.58,32
11,30,0.22,8
11,38,0.18,5
11,43,0.3,26
11,44,0.62,33
11,47,0.85,26
11,47,0.56,25
12,3,0.99,46
12,4,0.79,33
12,23,0.94,36
12,26,0.11,43
12,48,0.58,17
15,2,0.42,45
15,4,0.76,32
15,4,0.84,37
15,7,0.99,9
15,23,0.83,35
15,29,0.46,24
15,40,0.39,5
15,42,0.87,20
16,8,0.81,8
17,8,0.22,5
17,12,0.33,35
17,40,0.88,33
19,0,0.57,29
19,8,0.42,16
19,15,0.83,48
19,23,0.96,21
19,40,0.74,34
19,41,0.18,20
19,49,0.47,17
21,0,0.58,5
21,11,0.35,22
21,24,0.84,23
21,38,0.18,26
21,41,0.98,33
22,0,0.59,36
22,15,0.25,43
22,34,0.17,7
22,43,0.92,33
22,46,0.89,44
23,4,0.31,22
23,6,0.39,42
23,17,0.29,15
23,26,0.87,34
23,27,0.36,17
23,42,0.89,15
23,45,0.49,42
23,48,0.8,17
24,0,0.35,21
24,8,0.33,29
24,11,0.17,26
24,16,0.56,44
24,38,0.24,34
24,39,0.92,16
26,4,0.35,29
27,6,0.67,19
27,22,0.87,29
27,30,0.9,33
27,39,0.35,7
27,42,0.11,11
27,43,0.94,44
27,45,0.61,11
27,46,0.83,46
28,4,0.87,8
28,38,0.94,26
28,46,0.24,25
29,0,0.12,22
29,7,0.66,11
29,8,0.59,40
29,15,0.64,23
29,19,0.54,9
29,22,0.55,36
29,23,0.86,47
29,34,0.31,23
29,40,0.13,48
29,44,0.94,28
29,47,0.46,38
30,22,0.17,22
30,43,0.87,17
30,46,0.91,17
31,6,0.14,30
31,12,0.72,18
31,17,0.51,39
31,40,0.19,9
33,0,0.59,32
33,4,0.11,37
33,19,0.94,8
33,28,0.65,30
33,40,0.54,18
33,41,0.28,26
33,46,0.4,49
33,49,0.94,31
34,22,0.63,29
34,27,0.73,22
34,30,0.3,39
34,39,0.91,28
34,43,0.89,15
34,46,0.87,18
38,0,0.58,19
38,15,0.7,29
38,22,0.56,18
39,8,0.19,16
39,16,0.88,44
39,22,0.33,28
39,30,0.18,15
39,43,0.14,9
39,46,0.33,42
40,0,0.48,40
40,8,0.8,26
40,11,0.88,21
40,12,0.54,47
40,30,0.54,21
40,47,0.82,27
40,49,0.27,46
41,0,0.74,35
41,0,0.18,13
41,11,0.22,38
41,24,0.29,16
41,38,0.72,30
41,40,0.71,11
41,49,0.82,14
42,6,0.45,23
42,7,0.88,29
42,29,0.59,20
42,40,0.79,12
42,45,0.64,29
43,3,0.36,22
43,3,0.81,8
43,4,0.61,20
43,4,0.12,6
43,12,0.38,43
43,23,0.9,37
43,26,0.89,46
43,29,0.58,6
43,47,0.44,49
43,48,0.76,29
44,3,0.41,23
44,4,0.77,34
44,8,0.83,44
44,8,0.17,7
44,15,0.73,48
44,17,0.28,48
44,19,0.32,29
44,23,0.1,34
44,29,0.27,34
44,43,0.55,44
44,47,0.38,5
46,2,0.36,10
46,4,0.26,34
46,28,0.59,11
46,32,0.61,31
46,38,0.86,36
46,43,0.41,7
46,45,0.31,44
46,49,0.59,6
47,3,0.26,8
47,4,0.6,34
47,8,0.17,13
47,15,0.47,21
47,19,0.79,13
47,23,0.64,47
47,29,0.17,33
47,30,0.25,33
47,44,0.24,49
48,4,0.52,7
48,6,0.84,49
48,23,0.57,43
48,26,0.31,5
48,27,0.79,38
48,42,0.39,45
48,45,0.37,28
49,0,0.83,11
49,8,0.95,30
49,16,0.48,12
49,24,0.96,15
49,39,0.63,44
49,45,0.21,43
